model,N,K,M,m_tile,step,step_name,protocol,latency_us_p50,latency_us_p30,bandwidth_gbps,pct_of_spec_peak,clocks_sm_mhz,rel_l2,pass,config
minimax_m3,6144,8192,64,64,0,baseline,ISO,109.0880,108.7360,473.401,0.118350,1830,1.660140e-03,1,M_TILE=64;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=0;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,64,64,0,baseline,PDL,99.1207,99.1008,521.005,0.130251,1830,1.660140e-03,1,M_TILE=64;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=0;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,128,128,0,baseline,B2B,177.7077,177.5844,297.979,0.074495,1830,1.662079e-03,1,M_TILE=128;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=1;PREPACK=0;PDL=0;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,128,128,0,baseline,ISO,185.6000,185.0880,285.308,0.071327,1830,1.662079e-03,1,M_TILE=128;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=1;PREPACK=0;PDL=0;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,128,128,0,baseline,PDL,175.9943,175.8283,300.880,0.075220,1830,1.662079e-03,1,M_TILE=128;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=1;PREPACK=0;PDL=0;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,1,8,1,pdl,B2B,25.2156,25.1883,1996.861,0.499215,1830,1.658379e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=1;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,1,8,1,pdl,ISO,35.0080,34.6880,1438.304,0.359576,1830,1.658379e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=1;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,1,8,1,pdl,PDL,22.4732,22.4398,2240.537,0.560134,1830,1.658379e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=1;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,2,8,1,pdl,B2B,26.5860,26.5490,1894.707,0.473677,1830,1.647788e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=1;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,2,8,1,pdl,ISO,35.8720,35.4240,1404.232,0.351058,1830,1.647788e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=1;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,2,8,1,pdl,PDL,23.1836,23.1829,2172.765,0.543191,1830,1.647788e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=1;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,4,8,1,pdl,B2B,26.8843,26.8228,1875.207,0.468802,1830,1.653507e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=1;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,4,8,1,pdl,ISO,36.1920,35.6480,1392.948,0.348237,1830,1.653507e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=1;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,4,8,1,pdl,PDL,23.3337,23.3319,2160.548,0.540137,1830,1.653507e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=1;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,8,8,1,pdl,B2B,27.5335,27.5164,1833.965,0.458491,1830,1.652444e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=1;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,8,8,1,pdl,ISO,37.1200,36.4160,1360.331,0.340083,1830,1.652444e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=1;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,8,8,1,pdl,PDL,23.7771,23.7490,2123.706,0.530926,1830,1.652444e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=1;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,16,16,1,pdl,B2B,29.7049,29.6523,1705.421,0.426355,1830,1.653027e-03,1,M_TILE=16;BM=48;WG=2;REG=112;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,16,16,1,pdl,ISO,39.2640,38.9120,1290.223,0.322556,1830,1.653027e-03,1,M_TILE=16;BM=48;WG=2;REG=112;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,16,16,1,pdl,PDL,27.3899,27.3881,1849.565,0.462391,1830,1.653027e-03,1,M_TILE=16;BM=48;WG=2;REG=112;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,32,32,1,pdl,B2B,46.2884,46.1799,1101.508,0.275377,1830,1.657955e-03,1,M_TILE=32;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,32,32,1,pdl,ISO,51.9360,51.5840,981.728,0.245432,1830,1.657955e-03,1,M_TILE=32;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,32,32,1,pdl,PDL,43.1157,42.9611,1182.562,0.295640,1830,1.657955e-03,1,M_TILE=32;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,64,64,1,pdl,B2B,101.1648,101.1598,510.478,0.127619,1830,1.660140e-03,1,M_TILE=64;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,64,64,1,pdl,ISO,109.2800,108.8320,472.569,0.118142,1830,1.660140e-03,1,M_TILE=64;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,64,64,1,pdl,PDL,94.3260,94.2716,547.488,0.136872,1830,1.660140e-03,1,M_TILE=64;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,128,128,1,pdl,B2B,176.8789,176.7097,299.375,0.074844,1830,1.662079e-03,1,M_TILE=128;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=1;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,128,128,1,pdl,ISO,184.4800,183.8720,287.040,0.071760,1830,1.662079e-03,1,M_TILE=128;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=1;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,128,128,1,pdl,PDL,168.5316,168.0281,314.203,0.078551,1830,1.662079e-03,1,M_TILE=128;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=1;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,1,8,2,blockk,B2B,21.9826,21.9701,2290.547,0.572637,1830,1.658379e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,1,8,2,blockk,ISO,31.0720,30.8160,1620.498,0.405125,1830,1.658379e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,1,8,2,blockk,PDL,19.1353,19.1332,2631.375,0.657844,1830,1.658379e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,2,8,2,blockk,B2B,23.3660,23.3607,2155.804,0.538951,1830,1.647785e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,2,8,2,blockk,ISO,31.7120,31.2320,1588.440,0.397110,1830,1.647785e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,2,8,2,blockk,PDL,19.4059,19.3781,2595.741,0.648935,1830,1.647785e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,4,8,2,blockk,B2B,23.7362,23.7131,2123.913,0.530978,1830,1.653506e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,4,8,2,blockk,ISO,32.1280,31.6800,1569.147,0.392287,1830,1.653506e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,4,8,2,blockk,PDL,19.5627,19.5573,2577.029,0.644257,1830,1.653506e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,8,8,2,blockk,B2B,25.0482,25.0201,2015.934,0.503984,1830,1.652447e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,8,8,2,blockk,ISO,33.2800,32.8960,1517.292,0.379323,1830,1.652447e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,8,8,2,blockk,PDL,20.5756,20.5440,2454.139,0.613535,1830,1.652447e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,16,16,2,blockk,B2B,29.6978,29.6786,1705.829,0.426457,1830,1.653027e-03,1,M_TILE=16;BM=48;WG=2;REG=112;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,16,16,2,blockk,ISO,39.0720,38.6560,1296.563,0.324141,1830,1.653027e-03,1,M_TILE=16;BM=48;WG=2;REG=112;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,16,16,2,blockk,PDL,27.3660,27.3596,1851.175,0.462794,1830,1.653027e-03,1,M_TILE=16;BM=48;WG=2;REG=112;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,32,32,2,blockk,B2B,46.1760,46.1518,1104.189,0.276047,1830,1.657955e-03,1,M_TILE=32;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,32,32,2,blockk,ISO,51.5520,51.1040,989.040,0.247260,1830,1.657955e-03,1,M_TILE=32;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,32,32,2,blockk,PDL,43.0869,43.0635,1183.352,0.295838,1830,1.657955e-03,1,M_TILE=32;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,64,64,2,blockk,B2B,101.1044,101.0940,510.783,0.127696,1830,1.660140e-03,1,M_TILE=64;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,64,64,2,blockk,ISO,109.4720,108.8320,471.740,0.117935,1830,1.660140e-03,1,M_TILE=64;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,64,64,2,blockk,PDL,94.4988,94.3559,546.487,0.136622,1830,1.660140e-03,1,M_TILE=64;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,128,128,2,blockk,B2B,176.2507,176.1252,300.442,0.075110,1830,1.662079e-03,1,M_TILE=128;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=1;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,128,128,2,blockk,ISO,184.5120,184.0640,286.990,0.071747,1830,1.662079e-03,1,M_TILE=128;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=1;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,128,128,2,blockk,PDL,167.9417,167.5129,315.306,0.078827,1830,1.662079e-03,1,M_TILE=128;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=1;PREPACK=0;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,1,8,3,prepack,B2B,22.0356,22.0334,2285.040,0.571260,1830,1.658379e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,1,8,3,prepack,ISO,31.4880,31.1360,1599.089,0.399772,1830,1.658379e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,1,8,3,prepack,PDL,19.0055,18.9326,2649.344,0.662336,1830,1.658379e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,2,8,3,prepack,B2B,23.4300,23.3596,2149.915,0.537479,1830,1.647785e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,2,8,3,prepack,ISO,31.9680,31.7120,1575.720,0.393930,1830,1.647785e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,2,8,3,prepack,PDL,19.2103,19.1915,2622.165,0.655541,1830,1.647785e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,4,8,3,prepack,B2B,23.6924,23.6846,2127.833,0.531958,1830,1.653506e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,4,8,3,prepack,ISO,32.2560,31.8720,1562.921,0.390730,1830,1.653506e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,4,8,3,prepack,PDL,19.3490,19.3266,2605.490,0.651373,1830,1.653506e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,8,8,3,prepack,B2B,24.8857,24.8516,2029.097,0.507274,1830,1.652447e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,8,8,3,prepack,ISO,33.6960,33.3120,1498.560,0.374640,1830,1.652447e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,8,8,3,prepack,PDL,20.2471,20.2311,2493.960,0.623490,1830,1.652447e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,16,16,3,prepack,B2B,30.3196,30.3168,1670.842,0.417710,1830,1.653027e-03,1,M_TILE=16;BM=48;WG=2;REG=112;STG=2;TILES=2;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,16,16,3,prepack,ISO,43.4240,43.2000,1166.621,0.291655,1830,1.653027e-03,1,M_TILE=16;BM=48;WG=2;REG=112;STG=2;TILES=2;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,16,16,3,prepack,PDL,28.0796,28.0377,1804.130,0.451032,1830,1.653027e-03,1,M_TILE=16;BM=48;WG=2;REG=112;STG=2;TILES=2;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
minimax_m3,6144,8192,32,32,3,prepack,B2B,46.3915,46.3780,1099.060,0.274765,1830,1.657955e-03,1,M_TILE=32;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,32,32,3,prepack,ISO,53.2480,52.7360,957.538,0.239385,1830,1.657955e-03,1,M_TILE=32;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,32,32,3,prepack,PDL,43.2192,43.2004,1179.730,0.294933,1830,1.657955e-03,1,M_TILE=32;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,64,64,3,prepack,B2B,100.8964,100.8565,511.836,0.127959,1830,1.660140e-03,1,M_TILE=64;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,64,64,3,prepack,ISO,109.4080,108.8960,472.016,0.118004,1830,1.660140e-03,1,M_TILE=64;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,64,64,3,prepack,PDL,93.8073,93.6711,550.516,0.137629,1830,1.660140e-03,1,M_TILE=64;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,128,128,3,prepack,B2B,168.3687,168.0633,314.507,0.078627,1830,1.662079e-03,1,M_TILE=128;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=1;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,128,128,3,prepack,ISO,176.6720,176.1600,299.725,0.074931,1830,1.662079e-03,1,M_TILE=128;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=1;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,128,128,3,prepack,PDL,161.6594,161.5876,327.560,0.081890,1830,1.662079e-03,1,M_TILE=128;BM=48;WG=2;REG=168;STG=2;TILES=2;SUBS=1;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
minimax_m3,6144,8192,1,8,4,tile_stage,B2B,18.7403,18.7036,2686.842,0.671710,1830,1.658379e-03,1,M_TILE=8;BM=56;WG=1;REG=112;STG=4;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
