model,N,K,M,m_tile,step,step_name,protocol,latency_us_p50,latency_us_p30,bandwidth_gbps,pct_of_spec_peak,clocks_sm_mhz,rel_l2,pass,config,splitk_on
kimi_k3,7168,12288,64,64,6,splitk,PDL,154.9429,154.8007,579.467,0.144867,1830,1.665390e-03,1,M_TILE=64;BM=56;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=1;PR=32;SPW=0;PLA=0;SISM=0,1
qwen36,2048,4096,1,8,6,splitk,ISO,11.9360,11.7760,703.485,0.175871,1830,1.653887e-03,1,M_TILE=8;BM=32;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1,0
qwen36,2048,4096,1,8,6,splitk,B2B,7.6142,7.6039,1102.778,0.275695,1830,1.653887e-03,1,M_TILE=8;BM=32;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1,0
qwen36,2048,4096,1,8,6,splitk,PDL,4.5572,4.5106,1842.553,0.460638,1830,1.653887e-03,1,M_TILE=8;BM=32;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1,0
qwen36,2048,4096,1,8,6,splitk,ISO,12.8960,12.6720,651.117,0.162779,1830,1.653887e-03,1,M_TILE=8;BM=32;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=1;PR=32;SPW=0;PLA=0;SISM=1,1
qwen36,2048,4096,1,8,6,splitk,B2B,8.9348,8.9209,939.791,0.234948,1830,1.653887e-03,1,M_TILE=8;BM=32;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=1;PR=32;SPW=0;PLA=0;SISM=1,1
qwen36,2048,4096,1,8,6,splitk,PDL,5.2654,5.2423,1594.706,0.398676,1830,1.653887e-03,1,M_TILE=8;BM=32;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=1;PR=32;SPW=0;PLA=0;SISM=1,1
qwen36,2048,4096,8,8,6,splitk,ISO,12.6720,12.5760,667.152,0.166788,1830,1.677281e-03,1,M_TILE=8;BM=32;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1,0
qwen36,2048,4096,8,8,6,splitk,B2B,8.5799,8.5323,985.342,0.246335,1830,1.677281e-03,1,M_TILE=8;BM=32;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1,0
qwen36,2048,4096,8,8,6,splitk,PDL,4.9941,4.9899,1692.815,0.423204,1830,1.677281e-03,1,M_TILE=8;BM=32;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1,0
qwen36,2048,4096,8,8,6,splitk,ISO,14.6880,14.5600,575.582,0.143895,1830,1.677281e-03,1,M_TILE=8;BM=32;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=1;PR=32;SPW=0;PLA=0;SISM=1,1
qwen36,2048,4096,8,8,6,splitk,B2B,10.6866,10.6777,791.099,0.197775,1830,1.677281e-03,1,M_TILE=8;BM=32;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=1;PR=32;SPW=0;PLA=0;SISM=1,1
qwen36,2048,4096,8,8,6,splitk,PDL,6.4135,6.4107,1318.177,0.329544,1830,1.677281e-03,1,M_TILE=8;BM=32;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=1;PR=32;SPW=0;PLA=0;SISM=1,1
qwen36,2048,4096,64,64,6,splitk,ISO,57.3440,57.0560,155.429,0.038857,1830,1.671829e-03,1,M_TILE=64;BM=32;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0,0
qwen36,2048,4096,64,64,6,splitk,B2B,51.4969,51.4777,173.076,0.043269,1830,1.671829e-03,1,M_TILE=64;BM=32;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0,0
qwen36,2048,4096,64,64,6,splitk,PDL,42.1785,42.1326,211.314,0.052828,1830,1.671829e-03,1,M_TILE=64;BM=32;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0,0
qwen36,2048,4096,64,64,6,splitk,ISO,44.7040,44.4160,199.376,0.049844,1830,1.671825e-03,1,M_TILE=64;BM=32;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=1;PR=32;SPW=0;PLA=0;SISM=0,1
qwen36,2048,4096,64,64,6,splitk,B2B,38.6393,38.6254,230.669,0.057667,1830,1.671825e-03,1,M_TILE=64;BM=32;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=1;PR=32;SPW=0;PLA=0;SISM=0,1
qwen36,2048,4096,64,64,6,splitk,PDL,31.3266,31.2967,284.515,0.071129,1830,1.671825e-03,1,M_TILE=64;BM=32;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=1;PR=32;SPW=0;PLA=0;SISM=0,1
