model,N,K,M,m_tile,step,step_name,protocol,latency_us_p50,latency_us_p30,bandwidth_gbps,pct_of_spec_peak,clocks_sm_mhz,rel_l2,pass,config,splitk_on
qwen36,2048,4096,2,8,6,splitk,PDL,5.0176,4.8420,1675.102,0.418775,1830,1.656351e-03,1,M_TILE=8;BM=32;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1,0
qwen36,2048,4096,2,8,6,splitk,PDL,5.9968,5.9876,1401.579,0.350395,1830,1.656351e-03,1,M_TILE=8;BM=32;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=1;PR=32;SPW=0;PLA=0;SISM=1,1
qwen36,2048,4096,4,8,6,splitk,PDL,4.9070,4.8935,1716.189,0.429047,1830,1.666980e-03,1,M_TILE=8;BM=32;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1,0
qwen36,2048,4096,4,8,6,splitk,PDL,6.1504,6.1180,1369.240,0.342310,1830,1.666980e-03,1,M_TILE=8;BM=32;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=1;PR=32;SPW=0;PLA=0;SISM=1,1
qwen36,2048,4096,16,16,6,splitk,PDL,15.5940,15.5353,546.345,0.136586,1830,1.679316e-03,1,M_TILE=16;BM=32;WG=2;REG=112;STG=2;TILES=2;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1,0
qwen36,2048,4096,16,16,6,splitk,PDL,10.8569,10.8331,784.726,0.196181,1830,1.679316e-03,1,M_TILE=16;BM=32;WG=2;REG=112;STG=2;TILES=2;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=1;PR=32;SPW=0;PLA=0;SISM=1,1
qwen36,2048,4096,32,32,6,splitk,PDL,20.9013,20.8249,413.885,0.103471,1830,1.674518e-03,1,M_TILE=32;BM=32;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0,0
qwen36,2048,4096,32,32,6,splitk,PDL,15.0642,15.0261,574.260,0.143565,1830,1.674519e-03,1,M_TILE=32;BM=32;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=1;PR=32;SPW=0;PLA=0;SISM=0,1
