model,N,K,M,dtype,protocol,latency_us_p50,bandwidth_gbps,pct_of_spec_peak,algo_desc,clocks_sm_mhz
kimi_k3,7168,12288,16,fp8,B2B,33.6064,2633.616,0.658404,algo_id=66;tile=256x16(487);stages=128xAUTO(36);splitk=2;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=917520B;waves=0.36;heur=8;rank=7;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,16,fp8,ISO,47.0400,1881.513,0.470378,algo_id=66;tile=256x16(487);stages=128xAUTO(36);splitk=2;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=917520B;waves=0.36;heur=8;rank=7;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,16,bf16,B2B,59.1915,2990.511,0.747628,algo_id=66;tile=64x16(312);stages=64xAUTO(35);splitk=2;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=917524B;waves=1.44;heur=8;rank=4;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,16,bf16,ISO,73.1520,2419.794,0.604948,algo_id=66;tile=64x16(312);stages=64xAUTO(35);splitk=2;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=917524B;waves=1.44;heur=8;rank=4;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,32,fp8,B2B,37.5815,2366.386,0.591596,algo_id=66;tile=320x32(517);stages=128xAUTO(36);splitk=3;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=2752528B;waves=0.29;heur=8;rank=5;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,32,fp8,ISO,50.3360,1766.774,0.441694,algo_id=66;tile=320x32(517);stages=128xAUTO(36);splitk=3;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=2752528B;waves=0.29;heur=8;rank=5;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,32,bf16,B2B,62.7040,2836.577,0.709144,algo_id=66;tile=320x32(517);stages=64xAUTO(35);splitk=3;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=2752528B;waves=0.29;heur=8;rank=7;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,32,bf16,ISO,76.4480,2326.610,0.581653,algo_id=66;tile=320x32(517);stages=64xAUTO(35);splitk=3;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=2752528B;waves=0.29;heur=8;rank=7;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,64,fp8,B2B,46.5358,1929.359,0.482340,algo_id=66;tile=96x64(27);stages=128xAUTO(36);splitk=1;red=NONE;cta_swz=0;custom=0;inner=UNDEFINED(0);cluster=2x1x1(3);ws=0B;waves=0.96;heur=8;rank=1;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,64,fp8,ISO,52.5120,1709.787,0.427447,algo_id=66;tile=96x64(27);stages=128xAUTO(36);splitk=1;red=NONE;cta_swz=0;custom=0;inner=UNDEFINED(0);cluster=2x1x1(3);ws=0B;waves=0.96;heur=8;rank=1;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,64,bf16,B2B,86.9874,2064.307,0.516077,algo_id=66;tile=96x64(27);stages=64xAUTO(35);splitk=1;red=NONE;cta_swz=0;custom=0;inner=UNDEFINED(0);cluster=2x1x1(3);ws=0B;waves=0.96;heur=8;rank=1;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,64,bf16,ISO,93.4080,1922.412,0.480603,algo_id=66;tile=96x64(27);stages=64xAUTO(35);splitk=1;red=NONE;cta_swz=0;custom=0;inner=UNDEFINED(0);cluster=2x1x1(3);ws=0B;waves=0.96;heur=8;rank=1;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,128,fp8,B2B,87.5168,1045.379,0.261345,algo_id=66;tile=96x64(27);stages=128xAUTO(36);splitk=1;red=NONE;cta_swz=0;custom=2;inner=UNDEFINED(0);cluster=1x2x1(5);ws=0B;waves=1.92;heur=8;rank=3;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,128,fp8,ISO,93.0240,983.491,0.245873,algo_id=66;tile=96x64(27);stages=128xAUTO(36);splitk=1;red=NONE;cta_swz=0;custom=2;inner=UNDEFINED(0);cluster=1x2x1(5);ws=0B;waves=1.92;heur=8;rank=3;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,128,bf16,B2B,168.2773,1087.351,0.271838,algo_id=66;tile=96x64(27);stages=64xAUTO(35);splitk=1;red=NONE;cta_swz=0;custom=2;inner=UNDEFINED(0);cluster=1x2x1(5);ws=0B;waves=1.92;heur=8;rank=7;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,128,bf16,ISO,174.8480,1046.489,0.261622,algo_id=66;tile=96x64(27);stages=64xAUTO(35);splitk=1;red=NONE;cta_swz=0;custom=2;inner=UNDEFINED(0);cluster=1x2x1(5);ws=0B;waves=1.92;heur=8;rank=7;searched=8;fast_accum=0,1830
qwen36,2048,4096,1,fp8,B2B,6.7591,1242.294,0.310573,algo_id=66;tile=64x8(10);stages=128xAUTO(36);splitk=1;red=NONE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=0B;waves=0.41;heur=8;rank=1;searched=8;fast_accum=0,1830
qwen36,2048,4096,1,fp8,ISO,13.7280,611.655,0.152914,algo_id=66;tile=64x8(10);stages=128xAUTO(36);splitk=1;red=NONE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=0B;waves=0.41;heur=8;rank=1;searched=8;fast_accum=0,1830
qwen36,2048,4096,1,bf16,B2B,11.3557,1478.865,0.369716,algo_id=66;tile=128x8(393);stages=64xAUTO(35);splitk=3;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=24592B;waves=0.21;heur=8;rank=2;searched=8;fast_accum=0,1830
qwen36,2048,4096,1,bf16,ISO,19.2960,870.315,0.217579,algo_id=66;tile=128x8(393);stages=64xAUTO(35);splitk=3;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=24592B;waves=0.21;heur=8;rank=2;searched=8;fast_accum=0,1830
qwen36,2048,4096,2,fp8,B2B,6.6791,1258.400,0.314600,algo_id=66;tile=64x8(10);stages=128xAUTO(36);splitk=1;red=NONE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=0B;waves=0.41;heur=8;rank=1;searched=8;fast_accum=0,1830
qwen36,2048,4096,2,fp8,ISO,13.6640,615.119,0.153780,algo_id=66;tile=64x8(10);stages=128xAUTO(36);splitk=1;red=NONE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=0B;waves=0.41;heur=8;rank=1;searched=8;fast_accum=0,1830
qwen36,2048,4096,2,bf16,B2B,11.4734,1465.124,0.366281,algo_id=66;tile=128x8(393);stages=64xAUTO(35);splitk=3;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=49168B;waves=0.21;heur=8;rank=2;searched=8;fast_accum=0,1830
qwen36,2048,4096,2,bf16,ISO,19.5840,858.353,0.214588,algo_id=66;tile=128x8(393);stages=64xAUTO(35);splitk=3;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=49168B;waves=0.21;heur=8;rank=2;searched=8;fast_accum=0,1830
qwen36,2048,4096,4,fp8,B2B,6.6379,1268.687,0.317172,algo_id=66;tile=64x8(10);stages=128xAUTO(36);splitk=1;red=NONE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=0B;waves=0.41;heur=8;rank=1;searched=8;fast_accum=0,1830
qwen36,2048,4096,4,fp8,ISO,13.7600,612.019,0.153005,algo_id=66;tile=64x8(10);stages=128xAUTO(36);splitk=1;red=NONE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=0B;waves=0.41;heur=8;rank=1;searched=8;fast_accum=0,1830
qwen36,2048,4096,4,bf16,B2B,11.3710,1481.200,0.370300,algo_id=66;tile=64x8(10);stages=64xAUTO(35);splitk=2;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=65552B;waves=0.41;heur=8;rank=1;searched=8;fast_accum=0,1830
qwen36,2048,4096,4,bf16,ISO,19.0720,883.114,0.220779,algo_id=66;tile=64x8(10);stages=64xAUTO(35);splitk=2;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=65552B;waves=0.41;heur=8;rank=1;searched=8;fast_accum=0,1830
qwen36,2048,4096,8,fp8,B2B,6.8725,1230.135,0.307534,algo_id=66;tile=64x8(10);stages=128xAUTO(36);splitk=1;red=NONE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=0B;waves=0.41;heur=8;rank=1;searched=8;fast_accum=0,1830
qwen36,2048,4096,8,fp8,ISO,13.6000,621.628,0.155407,algo_id=66;tile=64x8(10);stages=128xAUTO(36);splitk=1;red=NONE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=0B;waves=0.41;heur=8;rank=1;searched=8;fast_accum=0,1830
qwen36,2048,4096,8,bf16,B2B,11.4567,1475.841,0.368960,algo_id=66;tile=64x8(10);stages=64xAUTO(35);splitk=2;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=131088B;waves=0.41;heur=8;rank=1;searched=8;fast_accum=0,1830
qwen36,2048,4096,8,bf16,ISO,19.2000,880.640,0.220160,algo_id=66;tile=64x8(10);stages=64xAUTO(35);splitk=2;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=131088B;waves=0.41;heur=8;rank=1;searched=8;fast_accum=0,1830
qwen36,2048,4096,16,fp8,B2B,6.7534,1261.535,0.315384,algo_id=66;tile=64x8(10);stages=128xAUTO(36);splitk=1;red=NONE;cta_swz=0;custom=3;inner=UNDEFINED(0);cluster=1x2x1(5);ws=0B;waves=0.82;heur=8;rank=1;searched=8;fast_accum=0,1830
qwen36,2048,4096,16,fp8,ISO,13.8240,616.296,0.154074,algo_id=66;tile=64x8(10);stages=128xAUTO(36);splitk=1;red=NONE;cta_swz=0;custom=3;inner=UNDEFINED(0);cluster=1x2x1(5);ws=0B;waves=0.82;heur=8;rank=1;searched=8;fast_accum=0,1830
qwen36,2048,4096,16,bf16,B2B,11.5004,1481.626,0.370407,algo_id=66;tile=64x16(312);stages=64xAUTO(35);splitk=2;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=262160B;waves=0.41;heur=8;rank=1;searched=8;fast_accum=0,1830
qwen36,2048,4096,16,bf16,ISO,19.2960,883.051,0.220763,algo_id=66;tile=64x16(312);stages=64xAUTO(35);splitk=2;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=262160B;waves=0.41;heur=8;rank=1;searched=8;fast_accum=0,1830
qwen36,2048,4096,32,fp8,B2B,7.4613,1159.411,0.289853,algo_id=66;tile=64x16(312);stages=128xAUTO(36);splitk=1;red=NONE;cta_swz=0;custom=3;inner=UNDEFINED(0);cluster=1x2x1(5);ws=0B;waves=0.82;heur=8;rank=1;searched=8;fast_accum=0,1830
qwen36,2048,4096,32,fp8,ISO,14.1760,610.239,0.152560,algo_id=66;tile=64x16(312);stages=128xAUTO(36);splitk=1;red=NONE;cta_swz=0;custom=3;inner=UNDEFINED(0);cluster=1x2x1(5);ws=0B;waves=0.82;heur=8;rank=1;searched=8;fast_accum=0,1830
qwen36,2048,4096,32,bf16,B2B,12.4910,1385.115,0.346279,algo_id=66;tile=64x32(13);stages=64xAUTO(35);splitk=2;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=524304B;waves=0.41;heur=8;rank=1;searched=8;fast_accum=0,1830
qwen36,2048,4096,32,bf16,ISO,20.4800,844.800,0.211200,algo_id=66;tile=64x32(13);stages=64xAUTO(35);splitk=2;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=524304B;waves=0.41;heur=8;rank=1;searched=8;fast_accum=0,1830
qwen36,2048,4096,64,fp8,B2B,9.3440,953.863,0.238466,algo_id=66;tile=128x16(394);stages=128xAUTO(36);splitk=1;red=NONE;cta_swz=0;custom=3;inner=UNDEFINED(0);cluster=1x2x1(5);ws=0B;waves=0.82;heur=8;rank=5;searched=8;fast_accum=0,1830
qwen36,2048,4096,64,fp8,ISO,15.7440,566.114,0.141528,algo_id=66;tile=128x16(394);stages=128xAUTO(36);splitk=1;red=NONE;cta_swz=0;custom=3;inner=UNDEFINED(0);cluster=1x2x1(5);ws=0B;waves=0.82;heur=8;rank=5;searched=8;fast_accum=0,1830
qwen36,2048,4096,64,bf16,B2B,13.4610,1324.257,0.331064,algo_id=66;tile=32x64(12);stages=64xAUTO(35);splitk=1;red=NONE;cta_swz=0;custom=0;inner=UNDEFINED(0);cluster=2x1x1(3);ws=0B;waves=0.82;heur=8;rank=5;searched=8;fast_accum=0,1830
qwen36,2048,4096,64,bf16,ISO,20.1920,882.815,0.220704,algo_id=66;tile=32x64(12);stages=64xAUTO(35);splitk=1;red=NONE;cta_swz=0;custom=0;inner=UNDEFINED(0);cluster=2x1x1(3);ws=0B;waves=0.82;heur=8;rank=5;searched=8;fast_accum=0,1830
